模型ID,提供商,支持图片,上下文窗口,最大输出,特色,适用场景
DeepSeek-V4-Flash,DeepSeek,未知,未知,未知,"偏速度、低时延","日常问答、轻量 Agent、快速响应"
DeepSeek-V4-Pro,DeepSeek,未知,未知,未知,"偏质量、复杂推理","复杂分析、长链路任务、高质量生成"
ark-code-latest,火山引擎 Ark,未知,未知,未知,代码专项,"编码、改代码、解释代码、Agent 工具调用"
deepseek-v3.2,DeepSeek,未知,未知,未知,"通用文本能力强、性价比高","通用聊天、知识问答、流程 Agent"
doubao-seed-2.0-code,豆包 Seed,未知,未知,未知,代码专项,"软件开发、脚本生成、代码修复"
doubao-seed-2.0-lite,豆包 Seed,未知,未知,未知,"轻量、成本低、速度快","高频轻任务、客服、批处理"
doubao-seed-2.0-pro,豆包 Seed,未知,未知,未知,通用高质量版本,"复杂问答、内容生成、业务助手"
doubao-seed-code,豆包 Seed,未知,未知,未知,代码模型,"编程问答、代码补全、工程 Agent"
glm-5.1,智谱 GLM,未知,未知,未知,通用推理与中文能力,"中文办公助手、分析总结、通用 Agent"
kimi-k2.6,Moonshot Kimi,未知,未知,未知,长文本/知识处理倾向,"长文总结、资料阅读、知识库问答"
minimax-m2.7,MiniMax,未知,未知,未知,通用文本生成,"通用对话、内容生成、业务流程助手"
